"ReceivedAt","AttachmentIndex","FileName","Airline","Profile","PermitNumber","Status","Error"
"03/08/2026 17:59:52","153","OF 5448 B3246.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","O/F 08153/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08153/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","154","OF 5452 DASSY.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","155","OF 5453 VPCNP.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","156","OF 5454 MEDIC77.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","157","OF 5478 ABD.docx","CC/ABD - ABD","abd-english-overflight-issued","O/F 08158/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08158/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","158","OF 5477 N369WW.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.53, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00"
"03/08/2026 17:59:52","159","OF 5479 VQBOY.docx","PRV - Lily Jet Overflight Issued","prv-lily-jet-overflight-issued","O/F 08159/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08159/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","160","OF 5480 VJT.docx","VJT - VISTAJET LIMITED","vjt-inline-overflight-issued","O/F 08160/S/CHK/2026","CÁCH LY","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=POS."
"03/08/2026 17:59:52","161","OF 5482 N779LG.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.47, caav-english-issued-permit-revision=0.00, caav-english-landing-revision=0.00"
"03/08/2026 17:59:52","162","OF 5481 VJT COR.docx","VJT - VISTAJET LIMITED","vjt-inline-overflight-issued","(chưa lấy được)","CÁCH LY","BR-ATFM-REFERENCE: Có nhiều đường bay ATFM phù hợp, không thể tự chọn: in M_VIA for WSSL -> VDTI, OPER=POS: L642/M753/M755, M753/M755."
"03/08/2026 17:59:52","163","OF 5481 VJT.docx","VJT - VISTAJET LIMITED","vjt-inline-overflight-issued","(chưa lấy được)","CÁCH LY","BR-ATFM-REFERENCE: Có nhiều đường bay ATFM phù hợp, không thể tự chọn: in M_VIA for WSSL -> VDTI, OPER=POS: L642/M753/M755, M753/M755."
"03/08/2026 17:59:52","164","OF 5483 HGO.docx","HC/HGO - HGO","hgo-english-overflight-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.60, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00"
"03/08/2026 17:59:52","165","OF 5484 N212DD.docx","PRV - Sinojet Overflight Issued","prv-sinojet-overflight-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.53, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00"
"03/08/2026 17:59:52","166","OF 5485 N65WL.docx","PRV - Circadian Overflight Issued","prv-circadian-overflight-issued","O/F 08166/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08166/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","169","OF 5488 VPCNP.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.53, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00"
"03/08/2026 17:59:52","170","OF 5489 B16888.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.53, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00"
"03/08/2026 17:59:52","172","OF 5496 P4JPB.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","175","OF 5498 VHOFA.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","176","OF 5499 T7Y8998.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","177","OF 5500 QQE.docx","POS - mã ICAO trích từ lỗi đối chiếu ATFM","caav-generic-overflight-issued","O/F 08177/S/CHK/2026","CÁCH LY","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=POS."
"03/08/2026 17:59:52","178","OF 5501 T7BOSS.docx","ASI - ASIAN CORPORATE AVIATION MANAGEMENT PTE LTD","asi-asian-corporate-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","179","QLB 158.docx","NN/PFA - PFA","pfa-bilingual-qlb-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.07, caav-english-issued-permit-revision=0.00, caav-english-landing-revision=0.00"
"03/08/2026 17:59:52","180","QLB 161 VHULJ.docx","PRV - Avcair Qlb Issued","prv-avcair-qlb-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.13, caav-english-issued-permit-revision=0.00, caav-english-landing-revision=0.00"
"03/08/2026 17:59:52","181","quyngoxuan_20260731_174857_email_000_LD_2497_VJC.docx","VJ/VJC - VJC","vjc-vietnamese-landing-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy ngày cấp phép bay."
"03/08/2026 17:59:52","182","quyngoxuan_20260803_090332_email_quarantine_006_LD_2842_IGA.doc","Chưa xác định hãng/không phải giấy phép","caav-generic-landing-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","183","quyngoxuan_20260803_090333_email_008_LD_2856_VFC8068-.docx","0V/VFC - VFC","vfc-vietnamese-landing-change","(chưa lấy được)","THẤT BẠI","Không tìm thấy format YAML phù hợp. Các format gần nhất: spa066-vietnamese-landing-revision=0.40, caav-english-overflight-scheduled=0.07, caav-english-issued-permit-revision=0.00"
"03/08/2026 17:59:52","184","quyngoxuan_20260803_090340_email_019_OF_5517-FDX9082.docx","FX/FDX - FDX","fdx-english-overflight-issued","(chưa lấy được)","CÁCH LY","Đã xảy ra lỗi trong quá trình xử lý. Vui lòng xem nhật ký kỹ thuật để biết chi tiết."
"03/08/2026 17:59:52","185","RENUMBER_MANIFEST.csv","Không áp dụng - tệp manifest CSV","(không có)","(chưa lấy được)","THẤT BẠI","Thiếu cột bắt buộc: callsign."
"03/08/2026 17:59:52","186","REV1 LD 2467 AZG.docx","7L/AZG - AZG","azg-english-landing-revision","LD 08185/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay LD 08185/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","187","YEN NHI.docx","Chưa xác định hãng/không phải giấy phép","(không có)","(chưa lấy được)","THẤT BẠI","Không hỗ trợ định dạng giấy phép bay Word này; không có format YAML nào phù hợp."
